query,markup
мыло aura 500мл,"[(0, 4, 'B-TYPE'), (5, 9, 'B-BRAND'), (10, 15, 'B-VOLUME')]"
корм рио 500 г,"[(0, 4, 'B-TYPE'), (5, 8, 'B-BRAND'), (9, 12, 'B-VOLUME'), (13, 14, 'I-VOLUME')]"
пицца 190г,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
"вода 0,5л горная вершина","[(0, 4, 'B-TYPE'), (5, 9, 'B-VOLUME'), (10, 16, 'B-BRAND'), (17, 24, 'I-BRAND')]"
сок 1л волжский сад,"[(0, 3, 'B-TYPE'), (4, 6, 'B-VOLUME'), (7, 15, 'B-BRAND'), (16, 19, 'I-BRAND')]"
маринад 300Г костровок,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME'), (13, 22, 'B-BRAND')]"
фундук 120 Г,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]"
"напиток 0,449л burn","[(0, 7, 'B-TYPE'), (8, 14, 'B-VOLUME'), (15, 19, 'B-BRAND')]"
чай grace 2Г,"[(0, 3, 'B-TYPE'), (4, 9, 'B-BRAND'), (10, 12, 'B-VOLUME')]"
сен сой 80г соус,"[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 11, 'B-VOLUME'), (12, 16, 'B-TYPE')]"
мороженое 100г коровка из кореновки,"[(0, 9, 'B-TYPE'), (10, 14, 'B-VOLUME'), (15, 22, 'B-BRAND'), (23, 25, 'I-BRAND'), (26, 35, 'I-BRAND')]"
бумага svetocopy 80 г,"[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND'), (17, 19, 'B-VOLUME'), (20, 21, 'I-VOLUME')]"
"хлеб алексеевский 0,5 кг","[(0, 4, 'B-TYPE'), (5, 17, 'B-BRAND'), (18, 21, 'B-VOLUME'), (22, 24, 'I-VOLUME')]"
приправа 10г русский аппетит,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME'), (13, 20, 'B-BRAND'), (21, 28, 'I-BRAND')]"
"вода черноголовка 0,5л","[(0, 4, 'B-TYPE'), (5, 17, 'B-BRAND'), (18, 22, 'B-VOLUME')]"
слойка юг руси 130г,"[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND'), (10, 14, 'I-BRAND'), (15, 19, 'B-VOLUME')]"
barilla макароны 500 г,"[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE'), (17, 20, 'B-VOLUME'), (21, 22, 'I-VOLUME')]"
калинов родник 6 л вода,"[(0, 7, 'B-BRAND'), (8, 14, 'I-BRAND'), (15, 16, 'B-VOLUME'), (17, 18, 'I-VOLUME'), (19, 23, 'B-TYPE')]"
"ruta лак 8,5мл","[(0, 4, 'B-BRAND'), (5, 8, 'B-TYPE'), (9, 14, 'B-VOLUME')]"
чистая линия 70 г мороженое,"[(0, 6, 'B-BRAND'), (7, 12, 'I-BRAND'), (13, 15, 'B-VOLUME'), (16, 17, 'I-VOLUME'), (18, 27, 'B-TYPE')]"
салат 450г,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
оливки maestro de oliva 300 г,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND'), (15, 17, 'I-BRAND'), (18, 23, 'I-BRAND'), (24, 27, 'B-VOLUME'), (28, 29, 'I-VOLUME')]"
"витамин 0,27г","[(0, 7, 'B-TYPE'), (8, 13, 'B-VOLUME')]"
"nivea бальзам 4,8г","[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE'), (14, 18, 'B-VOLUME')]"
позница 9л,"[(0, 7, 'B-TYPE'), (8, 10, 'B-VOLUME')]"
1 кг соль,"[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME'), (5, 9, 'B-TYPE')]"
булочка 70Г,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
чипсы 50г san carlo,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 13, 'B-BRAND'), (14, 19, 'I-BRAND')]"
милка 37г батончик,"[(0, 5, 'B-BRAND'), (6, 9, 'B-VOLUME'), (10, 18, 'B-TYPE')]"
"простоквашино 2,5% 930г кефир","[(0, 13, 'B-BRAND'), (14, 18, 'B-PERCENT'), (19, 23, 'B-VOLUME'), (24, 29, 'B-TYPE')]"
"сок 0,2л добрый","[(0, 3, 'B-TYPE'), (4, 8, 'B-VOLUME'), (9, 15, 'B-BRAND')]"
сок grante 100%,"[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND'), (11, 15, 'B-PERCENT')]"
heinz 100 г пюре,"[(0, 5, 'B-BRAND'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME'), (12, 16, 'B-TYPE')]"
абсолют 40мл,"[(0, 7, 'B-BRAND'), (8, 12, 'B-VOLUME')]"
печенье oreo 95г,"[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND'), (13, 16, 'B-VOLUME')]"
"1,5л квас","[(0, 4, 'B-VOLUME'), (5, 9, 'B-TYPE')]"
батончик 60г bombbar,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME'), (13, 20, 'B-BRAND')]"
whiskas 85г корм,"[(0, 7, 'B-BRAND'), (8, 11, 'B-VOLUME'), (12, 16, 'B-TYPE')]"
салфетки 20шт prestige,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME'), (14, 22, 'B-BRAND')]"
"твист 1,2л банка","[(0, 5, 'B-BRAND'), (6, 10, 'B-VOLUME'), (11, 16, 'B-TYPE')]"
золотой стандарт 89г пломбир,"[(0, 7, 'B-BRAND'), (8, 16, 'I-BRAND'), (17, 20, 'B-VOLUME'), (21, 28, 'B-TYPE')]"
"волжанка 1,5л вода","[(0, 8, 'B-BRAND'), (9, 13, 'B-VOLUME'), (14, 18, 'B-TYPE')]"
"палтус 0,090 кг","[(0, 6, 'B-TYPE'), (7, 12, 'B-VOLUME'), (13, 15, 'I-VOLUME')]"
"удобрение 2,5 кг фертика","[(0, 9, 'B-TYPE'), (10, 13, 'B-VOLUME'), (14, 16, 'I-VOLUME'), (17, 24, 'B-BRAND')]"
десерт 90г,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
плинтус 1 шт ideal,"[(0, 7, 'B-TYPE'), (8, 9, 'B-VOLUME'), (10, 12, 'I-VOLUME'), (13, 18, 'B-BRAND')]"
security force аккумулятор 17 шт,"[(0, 8, 'B-BRAND'), (9, 14, 'I-BRAND'), (15, 26, 'B-TYPE'), (27, 29, 'B-VOLUME'), (30, 32, 'I-VOLUME')]"
суспензия 10МЛ гевискон,"[(0, 9, 'B-TYPE'), (10, 14, 'B-VOLUME'), (15, 23, 'B-BRAND')]"
резинка 100шт,"[(0, 7, 'B-TYPE'), (8, 13, 'B-VOLUME')]"
масло castrol 4Л,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND'), (14, 16, 'B-VOLUME')]"
отбеливатель 810МЛ,"[(0, 12, 'B-TYPE'), (13, 18, 'B-VOLUME')]"
"салат 0,3г","[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
майонез 200мл мжк,"[(0, 7, 'B-TYPE'), (8, 13, 'B-VOLUME'), (14, 17, 'B-BRAND')]"
вкусное море 200г кольца,"[(0, 7, 'B-BRAND'), (8, 12, 'I-BRAND'), (13, 17, 'B-VOLUME'), (18, 24, 'B-TYPE')]"
огурцы ecofood 680г,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND'), (15, 19, 'B-VOLUME')]"
какао nesquik 135г,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND'), (14, 18, 'B-VOLUME')]"
каша винни 200 г,"[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND'), (11, 14, 'B-VOLUME'), (15, 16, 'I-VOLUME')]"
"вода 1,5 л святой источник","[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME'), (11, 17, 'B-BRAND'), (18, 26, 'I-BRAND')]"
экомилк сметана 200г 15%,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE'), (16, 20, 'B-VOLUME'), (21, 24, 'B-PERCENT')]"
pedigree корм 85Г,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
говядина 325г,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME')]"
простоквашино 15% 315г сметана,"[(0, 13, 'B-BRAND'), (14, 17, 'B-PERCENT'), (18, 22, 'B-VOLUME'), (23, 30, 'B-TYPE')]"
sfm 20мл шприц,"[(0, 3, 'B-BRAND'), (4, 8, 'B-VOLUME'), (9, 14, 'B-TYPE')]"
пирожное 1шт,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME')]"
кисель 500г ростагроэкспорт,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 27, 'B-BRAND')]"
конина дары монголии 50г,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 20, 'I-BRAND'), (21, 24, 'B-VOLUME')]"
trussardi вода 30мл,"[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
ясхим ацетон 1Л,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 15, 'B-VOLUME')]"
85 Г kitekat,"[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME'), (5, 12, 'B-BRAND')]"
butterfly мячи 6 шт,"[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE'), (15, 16, 'B-VOLUME'), (17, 19, 'I-VOLUME')]"
пакет 100 шт,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 12, 'I-VOLUME')]"
pringles чипсы 70г,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE'), (15, 18, 'B-VOLUME')]"
папка 20 л,"[(0, 5, 'B-TYPE'), (6, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME')]"
brembo 0.5л жидкость,"[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME'), (12, 20, 'B-TYPE')]"
910г жидкость тормозная,"[(0, 4, 'B-VOLUME'), (5, 13, 'B-TYPE'), (14, 23, 'I-TYPE')]"
холодушка холодец 0.384кг,"[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE'), (18, 25, 'B-VOLUME')]"
formula q8 1.9кг эмаль,"[(0, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 16, 'B-VOLUME'), (17, 22, 'B-TYPE')]"
козинак 170Г тимоша,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME'), (13, 19, 'B-BRAND')]"
йогурт 290г 3% облака,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 14, 'B-PERCENT'), (15, 21, 'B-BRAND')]"
100% мулине,"[(0, 4, 'B-PERCENT'), (5, 11, 'B-TYPE')]"
"молоко 1 л молочный гостинец 1,5%","[(0, 6, 'B-TYPE'), (7, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME'), (11, 19, 'B-BRAND'), (20, 28, 'I-BRAND'), (29, 33, 'B-PERCENT')]"
чудо йогурт 100г,"[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE'), (12, 16, 'B-VOLUME')]"
movenpick мороженое 533г,"[(0, 9, 'B-BRAND'), (10, 19, 'B-TYPE'), (20, 24, 'B-VOLUME')]"
"хиловская вода 1,5л","[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
14шт шапочки,"[(0, 4, 'B-VOLUME'), (5, 12, 'B-TYPE')]"
1л ravenol,"[(0, 2, 'B-VOLUME'), (3, 10, 'B-BRAND')]"
шампунь pm 1000мл,"[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND'), (11, 17, 'B-VOLUME')]"
shunga масло 100 мл,"[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE'), (13, 16, 'B-VOLUME'), (17, 19, 'I-VOLUME')]"
сок фрутоняня 0.2л,"[(0, 3, 'B-TYPE'), (4, 13, 'B-BRAND'), (14, 18, 'B-VOLUME')]"
ацидин-пепсин таблетки 0.25Г,"[(0, 13, 'B-BRAND'), (14, 22, 'B-TYPE'), (23, 28, 'B-VOLUME')]"
"arko 200 мл гель,крем","[(0, 4, 'B-BRAND'), (5, 8, 'B-VOLUME'), (9, 11, 'I-VOLUME'), (12, 21, 'B-TYPE')]"
mort subite 1 л,"[(0, 4, 'B-BRAND'), (5, 11, 'I-BRAND'), (12, 13, 'B-VOLUME'), (14, 15, 'I-VOLUME')]"
feretti 400 г торт,"[(0, 7, 'B-BRAND'), (8, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME'), (14, 18, 'B-TYPE')]"
саморезы 10шт,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME')]"
кориандр 3г,"[(0, 8, 'B-TYPE'), (9, 11, 'B-VOLUME')]"
напиток 3л,"[(0, 7, 'B-TYPE'), (8, 10, 'B-VOLUME')]"
футболка 32 шт evo,"[(0, 8, 'B-TYPE'), (9, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME'), (15, 18, 'B-BRAND')]"
"tikkurila 2,7 л краска","[(0, 9, 'B-BRAND'), (10, 13, 'B-VOLUME'), (14, 15, 'I-VOLUME'), (16, 22, 'B-TYPE')]"
pampers 152 ШТ трусики,"[(0, 7, 'B-BRAND'), (8, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME'), (15, 22, 'B-TYPE')]"
блинчики морозко 420г,"[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND'), (17, 21, 'B-VOLUME')]"
мулине 100%,"[(0, 6, 'B-TYPE'), (7, 11, 'B-PERCENT')]"
пленка 200 г,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]"
труба 28шт,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
майонез 67% слобода 200мл,"[(0, 7, 'B-TYPE'), (8, 11, 'B-PERCENT'), (12, 19, 'B-BRAND'), (20, 25, 'B-VOLUME')]"
hilltop 100г чай,"[(0, 7, 'B-BRAND'), (8, 12, 'B-VOLUME'), (13, 16, 'B-TYPE')]"
naturella 7 шт прокладки,"[(0, 9, 'B-BRAND'), (10, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME'), (15, 24, 'B-TYPE')]"
эскимо 70 г,"[(0, 6, 'B-TYPE'), (7, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
grand heritage 25мл,"[(0, 5, 'B-BRAND'), (6, 14, 'I-BRAND'), (15, 19, 'B-VOLUME')]"
яшкино 350г пряники,"[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME'), (12, 19, 'B-TYPE')]"
шоколад 85г милка,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME'), (12, 17, 'B-BRAND')]"
мозаика 91196 Г,"[(0, 7, 'B-TYPE'), (8, 13, 'B-VOLUME'), (14, 15, 'I-VOLUME')]"
"куртка 42,14л","[(0, 6, 'B-TYPE'), (7, 13, 'B-VOLUME')]"
"молоко 1400 мл 2,5% домик в деревне","[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME'), (15, 19, 'B-PERCENT'), (20, 25, 'B-BRAND'), (26, 27, 'I-BRAND'), (28, 35, 'I-BRAND')]"
геркулес суп 60г,"[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE'), (13, 16, 'B-VOLUME')]"
шампунь биовакс 355мл,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 21, 'B-VOLUME')]"
суперсемейка 90г арахис,"[(0, 12, 'B-BRAND'), (13, 16, 'B-VOLUME'), (17, 23, 'B-TYPE')]"
миф 500мл жидкость,"[(0, 3, 'B-BRAND'), (4, 9, 'B-VOLUME'), (10, 18, 'B-TYPE')]"
горчица 100г махеевъ,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME'), (13, 20, 'B-BRAND')]"
mirka 50 шт полоски,"[(0, 5, 'B-BRAND'), (6, 8, 'B-VOLUME'), (9, 11, 'I-VOLUME'), (12, 19, 'B-TYPE')]"
идеал 1л масло,"[(0, 5, 'B-BRAND'), (6, 8, 'B-VOLUME'), (9, 14, 'B-TYPE')]"
чипсы gross 40г,"[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND'), (12, 15, 'B-VOLUME')]"
луч 20мл гуашь,"[(0, 3, 'B-BRAND'), (4, 8, 'B-VOLUME'), (9, 14, 'B-TYPE')]"
20 шт клепка,"[(0, 2, 'B-VOLUME'), (3, 5, 'I-VOLUME'), (6, 12, 'B-TYPE')]"
9 мл коллекция,"[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME'), (5, 14, 'B-TYPE')]"
губка чистюля 10 шт,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND'), (14, 16, 'B-VOLUME'), (17, 19, 'I-VOLUME')]"
жидкость 60 мл bad drip,"[(0, 8, 'B-TYPE'), (9, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME'), (15, 18, 'B-BRAND'), (19, 23, 'I-BRAND')]"
перья дон макарон 400г,"[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND'), (10, 17, 'I-BRAND'), (18, 22, 'B-VOLUME')]"
батончик левушка 40г,"[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND'), (17, 20, 'B-VOLUME')]"
glade 70г,"[(0, 5, 'B-BRAND'), (6, 9, 'B-VOLUME')]"
крем 100 мл ekel,"[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME'), (9, 11, 'I-VOLUME'), (12, 16, 'B-BRAND')]"
пиала 90мл,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
блины 420 г мираторг,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME'), (12, 20, 'B-BRAND')]"
хлеб 400Г инской,"[(0, 4, 'B-TYPE'), (5, 9, 'B-VOLUME'), (10, 16, 'B-BRAND')]"
"говядина 1,790 кг","[(0, 8, 'B-TYPE'), (9, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
пломбир 400г золотой стандарт,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME'), (13, 20, 'B-BRAND'), (21, 29, 'I-BRAND')]"
vanish 800Г пятновыводитель,"[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME'), (12, 27, 'B-TYPE')]"
пятновыводитель vanish 3л,"[(0, 15, 'B-TYPE'), (16, 22, 'B-BRAND'), (23, 25, 'B-VOLUME')]"
"кунжут biogourmet 0,25 кг","[(0, 6, 'B-TYPE'), (7, 17, 'B-BRAND'), (18, 22, 'B-VOLUME'), (23, 25, 'I-VOLUME')]"
антифриз 5кг sintec,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME'), (13, 19, 'B-BRAND')]"
чипсы 150Г московский картофель,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME'), (11, 21, 'B-BRAND'), (22, 31, 'I-BRAND')]"
kudo грунт 520 мл,"[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE'), (11, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
икра 200г ип федоренко,"[(0, 4, 'B-TYPE'), (5, 9, 'B-VOLUME'), (10, 12, 'B-BRAND'), (13, 22, 'I-BRAND')]"
чай lipton 1л,"[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND'), (11, 13, 'B-VOLUME')]"
"2,5 мл кювета","[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME'), (7, 13, 'B-TYPE')]"
400шт салфетки,"[(0, 5, 'B-VOLUME'), (6, 14, 'B-TYPE')]"
молочко 200МЛ,"[(0, 7, 'B-TYPE'), (8, 13, 'B-VOLUME')]"
sky база 10 мл,"[(0, 3, 'B-BRAND'), (4, 8, 'B-TYPE'), (9, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME')]"
сахар 330г,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
1шт пакет,"[(0, 3, 'B-VOLUME'), (4, 9, 'B-TYPE')]"
присадка в масло 300мл,"[(0, 8, 'B-TYPE'), (9, 10, 'I-TYPE'), (11, 16, 'I-TYPE'), (17, 22, 'B-VOLUME')]"
канистра 20л,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME')]"
4шт набор,"[(0, 3, 'B-VOLUME'), (4, 9, 'B-TYPE')]"
пеленки molinea 30 ШТ,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 18, 'B-VOLUME'), (19, 21, 'I-VOLUME')]"
"мягков 0,7 л водка","[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME'), (13, 18, 'B-TYPE')]"
прокладки 40шт милана,"[(0, 9, 'B-TYPE'), (10, 14, 'B-VOLUME'), (15, 21, 'B-BRAND')]"
"балтика пиво 0,450мл","[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE'), (13, 20, 'B-VOLUME')]"
kerry аэрозоль 650мл,"[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE'), (15, 20, 'B-VOLUME')]"
йогурт 470г campina,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 19, 'B-BRAND')]"
цукаты 100Г slavian fest,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 19, 'B-BRAND'), (20, 24, 'I-BRAND')]"
таврия 1кг колбаски,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 19, 'B-TYPE')]"
"пиво 3,6% 0.5л harbin","[(0, 4, 'B-TYPE'), (5, 9, 'B-PERCENT'), (10, 14, 'B-VOLUME'), (15, 21, 'B-BRAND')]"
кетчуп махеев 300г,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND'), (14, 18, 'B-VOLUME')]"
polezzno 250 г суп,"[(0, 8, 'B-BRAND'), (9, 12, 'B-VOLUME'), (13, 14, 'I-VOLUME'), (15, 18, 'B-TYPE')]"
шампунь 450мл syoss,"[(0, 7, 'B-TYPE'), (8, 13, 'B-VOLUME'), (14, 19, 'B-BRAND')]"
krombacher 0.5л пиво,"[(0, 10, 'B-BRAND'), (11, 15, 'B-VOLUME'), (16, 20, 'B-TYPE')]"
желе 150г,"[(0, 4, 'B-TYPE'), (5, 9, 'B-VOLUME')]"
лосось 6КГ,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
любятово 1кг печенье,"[(0, 8, 'B-BRAND'), (9, 12, 'B-VOLUME'), (13, 20, 'B-TYPE')]"
"вино 12% 0,75л vankasar","[(0, 4, 'B-TYPE'), (5, 8, 'B-PERCENT'), (9, 14, 'B-VOLUME'), (15, 23, 'B-BRAND')]"
бисер zlatka 10 г,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 15, 'B-VOLUME'), (16, 17, 'I-VOLUME')]"
"добрый 0,45 л напиток","[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME'), (14, 21, 'B-TYPE')]"
вдохновение шоколад 100г,"[(0, 11, 'B-BRAND'), (12, 19, 'B-TYPE'), (20, 24, 'B-VOLUME')]"
20шт томат,"[(0, 4, 'B-VOLUME'), (5, 10, 'B-TYPE')]"
axent 25 л степлер,"[(0, 5, 'B-BRAND'), (6, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME'), (11, 18, 'B-TYPE')]"
"campina 100г йогуртный продукт 1,2%","[(0, 7, 'B-BRAND'), (8, 12, 'B-VOLUME'), (13, 22, 'B-TYPE'), (23, 30, 'I-TYPE'), (31, 35, 'B-PERCENT')]"
байсад кетчуп 235 г,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 17, 'B-VOLUME'), (18, 19, 'I-VOLUME')]"
сваля творог 180г 5 %,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 17, 'B-VOLUME'), (18, 19, 'B-PERCENT'), (20, 21, 'I-PERCENT')]"
ессентуки вода 1.5л,"[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
милка 93г шоколад,"[(0, 5, 'B-BRAND'), (6, 9, 'B-VOLUME'), (10, 17, 'B-TYPE')]"
сметана 20% 400г коровка из кореновки,"[(0, 7, 'B-TYPE'), (8, 11, 'B-PERCENT'), (12, 16, 'B-VOLUME'), (17, 24, 'B-BRAND'), (25, 27, 'I-BRAND'), (28, 37, 'I-BRAND')]"
назол бэби 10мл капли,"[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 15, 'B-VOLUME'), (16, 21, 'B-TYPE')]"
смесь 300г витамин,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME'), (11, 18, 'B-BRAND')]"
клей 270 г decart,"[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME'), (11, 17, 'B-BRAND')]"
тетрадь 48 Л,"[(0, 7, 'B-TYPE'), (8, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]"
мираторг корм 400 г,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 17, 'B-VOLUME'), (18, 19, 'I-VOLUME')]"
makel 10027 шт вилка,"[(0, 5, 'B-BRAND'), (6, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME'), (15, 20, 'B-TYPE')]"
бекон велком 300г,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 17, 'B-VOLUME')]"
стакан 250 мл крафт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME'), (11, 13, 'I-VOLUME'), (14, 19, 'B-BRAND')]"
endorphin 15 мл крем,"[(0, 9, 'B-BRAND'), (10, 12, 'B-VOLUME'), (13, 15, 'I-VOLUME'), (16, 20, 'B-TYPE')]"
чистюля пакеты 35л,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE'), (15, 18, 'B-VOLUME')]"
нежный йогурт 5% 110г,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 16, 'B-PERCENT'), (17, 21, 'B-VOLUME')]"
machos 40г батончик,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 19, 'B-TYPE')]"
hoop 2 л напиток,"[(0, 4, 'B-BRAND'), (5, 6, 'B-VOLUME'), (7, 8, 'I-VOLUME'), (9, 16, 'B-TYPE')]"
бинт 1шт ньюфарм,"[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME'), (9, 16, 'B-BRAND')]"
папа может сосиски 450г,"[(0, 4, 'B-BRAND'), (5, 10, 'I-BRAND'), (11, 18, 'B-TYPE'), (19, 23, 'B-VOLUME')]"
крем 100 мл aravia,"[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME'), (9, 11, 'I-VOLUME'), (12, 18, 'B-BRAND')]"
авс перец 10г,"[(0, 3, 'B-BRAND'), (4, 9, 'B-TYPE'), (10, 13, 'B-VOLUME')]"
"фарш 0,4кг мираторг","[(0, 4, 'B-TYPE'), (5, 10, 'B-VOLUME'), (11, 19, 'B-BRAND')]"
кофе 95г carte noire,"[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME'), (9, 14, 'B-BRAND'), (15, 20, 'I-BRAND')]"
fitstart 100г хлебцы,"[(0, 8, 'B-BRAND'), (9, 13, 'B-VOLUME'), (14, 20, 'B-TYPE')]"
антинакипь 100Г,"[(0, 10, 'B-TYPE'), (11, 15, 'B-VOLUME')]"
