скум	[(0, 4, 'B-TYPE')]
соком	[(0, 5, 'B-TYPE')]
копченая	[(0, 8, 'B-TYPE')]
chocopi	[(0, 7, 'B-BRAND')]
мультифрцкт	[(0, 11, 'B-TYPE')]
жикдость	[(0, 8, 'B-TYPE')]
крабовые па	[(0, 8, 'B-TYPE'), (9, 11, 'I-TYPE')]
сливочный крем	[(0, 9, 'B-TYPE'), (10, 14, 'I-TYPE')]
филейный	[(0, 8, 'B-TYPE')]
прочие набор	[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
электрогирлянды	[(0, 15, 'B-TYPE')]
кола без, сахара	[(0, 4, 'B-TYPE'), (5, 9, 'O'), (10, 16, 'O')]
печеньке	[(0, 8, 'B-TYPE')]
маканоны	[(0, 8, 'B-TYPE')]
соломка карав	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
сыр плавленый hoh	[(0, 3, 'B-TYPE'), (4, 13, 'I-TYPE'), (14, 17, 'B-BRAND')]
печенье юбилейное с овсян	[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE'), (18, 19, 'O'), (20, 25, 'O')]
мисок	[(0, 5, 'B-TYPE')]
спагктии	[(0, 8, 'B-TYPE')]
чай липтон лимон	[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND'), (11, 16, 'I-TYPE')]
урологичесике	[(0, 13, 'B-TYPE')]
тан царицы	[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND')]
печенье коломенское	[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]
мпйонез	[(0, 7, 'B-TYPE')]
чашка	[(0, 5, 'B-TYPE')]
окорчок	[(0, 7, 'B-TYPE')]
смесь для бес	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 13, 'O')]
соус для бу	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 11, 'O')]
теврдый	[(0, 7, 'B-TYPE')]
блтнчики	[(0, 8, 'B-TYPE')]
colai	[(0, 5, 'B-BRAND')]
уголь для шашлыка	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O')]
мандаринки	[(0, 10, 'B-TYPE')]
attache бумаг	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
сгущеноеи	[(0, 9, 'B-TYPE')]
spla	[(0, 4, 'B-BRAND')]
картофель	[(0, 9, 'B-TYPE')]
мооковь	[(0, 7, 'B-TYPE')]
картожель	[(0, 9, 'B-TYPE')]
семена чиа	[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]
пахла	[(0, 5, 'B-TYPE')]
mint	[(0, 4, 'B-BRAND')]
картошка быстрого приг	[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 22, 'I-TYPE')]
топинг	[(0, 6, 'B-TYPE')]
evervest	[(0, 8, 'B-BRAND')]
dido	[(0, 4, 'B-BRAND')]
кабаче	[(0, 6, 'B-TYPE')]
сметанный то	[(0, 9, 'B-TYPE'), (10, 12, 'I-TYPE')]
охотничиьи	[(0, 10, 'B-TYPE')]
протей	[(0, 6, 'B-TYPE')]
селедь	[(0, 6, 'B-TYPE')]
смеикна	[(0, 7, 'B-TYPE')]
конффеты	[(0, 8, 'B-TYPE')]
восточный шпи	[(0, 9, 'B-BRAND'), (10, 13, 'B-TYPE')]
подвсечники	[(0, 11, 'B-TYPE')]
шоки	[(0, 4, 'B-TYPE')]
огурги	[(0, 6, 'B-TYPE')]
соедство для зеркал	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
колбаса черкизово астория	[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND'), (18, 25, 'I-BRAND')]
консервы в соку	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 15, 'O')]
рис длинозерный	[(0, 3, 'B-TYPE'), (4, 15, 'I-TYPE')]
лапша по китайски	[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 17, 'O')]
иогуртв	[(0, 7, 'B-TYPE')]
протртые	[(0, 8, 'B-TYPE')]
sinergeti	[(0, 9, 'B-BRAND')]
смарси кондите	[(0, 6, 'O'), (7, 14, 'O')]
паста activia	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
сигара ken	[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
булочку	[(0, 7, 'B-TYPE')]
макартны	[(0, 8, 'B-TYPE')]
bru	[(0, 3, 'B-BRAND')]
хлебная	[(0, 7, 'B-TYPE')]
кола с сах	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 10, 'O')]
степлера pro	[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
сливовиднве	[(0, 11, 'B-TYPE')]
хлопушка	[(0, 8, 'B-BRAND')]
сахарнач	[(0, 8, 'B-TYPE')]
борщь	[(0, 5, 'B-TYPE')]
майонезун	[(0, 9, 'B-TYPE')]
мультифоукт	[(0, 11, 'B-TYPE')]
сырок шоколадный	[(0, 5, 'B-TYPE'), (6, 16, 'I-TYPE')]
бёдра	[(0, 5, 'B-TYPE')]
сахарный песок	[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
mos	[(0, 3, 'O')]
шоколаад	[(0, 8, 'B-TYPE')]
говядина стейк	[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
уман	[(0, 4, 'O')]
паниповочные	[(0, 12, 'B-TYPE')]
фруйгурт	[(0, 8, 'B-TYPE')]
арахис жареный	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
батончик с орехами	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O')]
зерни	[(0, 5, 'B-TYPE')]
тесто доя чебуреков	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 19, 'O')]
урения, ароматзация	[(0, 7, 'O'), (8, 19, 'O')]
сёмочки	[(0, 7, 'B-TYPE')]
макароны бантик	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
сыр творожный с ветчиной	[(0, 3, 'B-TYPE'), (4, 13, 'I-TYPE'), (14, 15, 'O'), (16, 24, 'O')]
олад	[(0, 4, 'B-TYPE')]
веччина	[(0, 7, 'B-TYPE')]
кебабч	[(0, 6, 'B-TYPE')]
маршмелол	[(0, 9, 'B-TYPE')]
vichi	[(0, 5, 'B-BRAND')]
лепешкау	[(0, 8, 'B-TYPE')]
грейпфркт	[(0, 9, 'B-TYPE')]
лимонпд	[(0, 7, 'B-TYPE')]
кролик охлажденно	[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE')]
капсула	[(0, 7, 'B-TYPE')]
фильтры, кувши	[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
шампуня lumene	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
приправыч укр	[(0, 9, 'B-BRAND'), (10, 13, 'B-TYPE')]
бумаг сейчас	[(0, 5, 'B-TYPE'), (6, 12, 'O')]
детскаяво	[(0, 9, 'B-TYPE')]
крабовых	[(0, 8, 'B-TYPE')]
тартф	[(0, 5, 'B-TYPE')]
mr.food плин	[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
пирожлк	[(0, 7, 'B-TYPE')]
порошка typhoo	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
икры	[(0, 4, 'B-TYPE')]
сэнк	[(0, 4, 'B-TYPE')]
кревето	[(0, 7, 'B-TYPE')]
компотеая	[(0, 9, 'B-TYPE')]
соус к мясу	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O')]
кярамель	[(0, 8, 'B-TYPE')]
тостер braun	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
чечевица агро-алья	[(0, 8, 'B-TYPE'), (9, 18, 'B-BRAND')]
жывачка	[(0, 7, 'B-TYPE')]
мооженя	[(0, 7, 'O')]
печения	[(0, 7, 'B-TYPE')]
цаетная	[(0, 7, 'B-TYPE')]
сухаоики	[(0, 8, 'B-TYPE')]
сок 1 литр	[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 10, 'I-VOLUME')]
зарядные устройст	[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
курица наша птичка	[(0, 6, 'B-TYPE'), (7, 11, 'O'), (12, 18, 'O')]
огуррц	[(0, 6, 'B-TYPE')]
одеяла toga	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
рожка	[(0, 5, 'B-TYPE')]
кортошку	[(0, 8, 'B-TYPE')]
средство для сытья	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
полоса	[(0, 6, 'B-TYPE')]
конфетны	[(0, 8, 'B-TYPE')]
перепе	[(0, 6, 'B-TYPE')]
семрчки	[(0, 7, 'B-TYPE')]
онигирт	[(0, 7, 'B-TYPE')]
кондицанер для быля	[(0, 10, 'B-TYPE'), (11, 14, 'O'), (15, 19, 'O')]
злива	[(0, 5, 'B-TYPE')]
пирожены	[(0, 8, 'B-TYPE')]
варено-гопченый	[(0, 15, 'B-TYPE')]
пододеяльн	[(0, 10, 'B-TYPE')]
аомидоры	[(0, 8, 'B-TYPE')]
сироп кленовый	[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
тарелки pacla	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
сыр северная долина	[(0, 3, 'B-TYPE'), (4, 12, 'B-BRAND'), (13, 19, 'I-BRAND')]
огурцц	[(0, 6, 'B-TYPE')]
овощи свеж	[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
щетка colloni	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
miller	[(0, 6, 'B-BRAND')]
рь	[(0, 2, 'O')]
нф сапоги	[(0, 2, 'B-BRAND'), (3, 9, 'B-TYPE')]
вода негазированная боль	[(0, 4, 'B-TYPE'), (5, 19, 'O'), (20, 24, 'O')]
вода красная	[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND')]
стейк на ужин	[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 13, 'O')]
смешарики кни	[(0, 9, 'B-BRAND'), (10, 13, 'B-TYPE')]
крола	[(0, 5, 'B-TYPE')]
майонез салатный	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
блины с грушей	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 14, 'O')]
помидорц	[(0, 8, 'B-TYPE')]
пироженые	[(0, 9, 'B-TYPE')]
бублйки	[(0, 7, 'B-TYPE')]
авоккдо	[(0, 7, 'B-TYPE')]
има	[(0, 3, 'O')]
степлеры hatbe	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
сладуница ирис	[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE')]
картоша	[(0, 7, 'B-TYPE')]
соус болоньезе	[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE')]
помиторы	[(0, 8, 'B-TYPE')]
колбаски доя жарки	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
жупиков сало	[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
соус с грибами	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
snaqer	[(0, 6, 'B-TYPE')]
энергеоик	[(0, 9, 'B-TYPE')]
лукумом в	[(0, 7, 'B-TYPE'), (8, 9, 'B-BRAND')]
vogue журн	[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
сфиле	[(0, 5, 'B-TYPE')]
вафли рот фронт	[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND'), (10, 15, 'I-BRAND')]
пятновыдодитель	[(0, 15, 'B-TYPE')]
на все времена	[(0, 2, 'O'), (3, 6, 'O'), (7, 14, 'O')]
кормз	[(0, 5, 'B-TYPE')]
карамель милагро	[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND')]
для стирки кондиционер	[(0, 3, 'O'), (4, 10, 'O'), (11, 22, 'B-TYPE')]
шпрот тенд	[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
щетки зубные	[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
газовый	[(0, 7, 'B-TYPE')]
dr.bakers ванильн	[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE')]
клинский сардельки	[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE')]
галетн	[(0, 6, 'B-TYPE')]
палочка перекресток	[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND')]
варено-копченая скиф	[(0, 15, 'B-TYPE'), (16, 20, 'B-BRAND')]
скиф голубцы	[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE')]
rost баклажан	[(0, 4, 'B-BRAND'), (5, 13, 'B-TYPE')]
сухие сме	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
пецец	[(0, 5, 'B-TYPE')]
варено-копченна	[(0, 15, 'B-TYPE')]
маслиг	[(0, 6, 'B-TYPE')]
сыр натёртый	[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE')]
сльдь	[(0, 5, 'B-TYPE')]
бренди torres	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
тросниковый сахар	[(0, 11, 'B-TYPE'), (12, 17, 'I-TYPE')]
либрес	[(0, 6, 'B-BRAND')]
basillu	[(0, 7, 'B-BRAND')]
горчицы перекрест	[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND')]
газирвка	[(0, 8, 'B-TYPE')]
сок земляничное лето	[(0, 3, 'B-TYPE'), (4, 15, 'B-BRAND'), (16, 20, 'I-BRAND')]
лимонх	[(0, 6, 'B-TYPE')]
люстры, светильник	[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]
мишки мармеладные	[(0, 5, 'B-TYPE'), (6, 17, 'I-TYPE')]
быстрозамороженны	[(0, 17, 'B-TYPE')]
сок 2 л	[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 7, 'I-VOLUME')]
красок universa	[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
прокладки.	[(0, 10, 'B-TYPE')]
фар8	[(0, 4, 'B-TYPE')]
nes	[(0, 3, 'B-BRAND')]
мягкий игрушка	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
пюре фруктовые	[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE')]
булкк	[(0, 5, 'B-TYPE')]
горчичнре	[(0, 9, 'B-TYPE')]
пастеризованное красногорск	[(0, 15, 'B-TYPE'), (16, 27, 'B-BRAND')]
ьворогг	[(0, 7, 'B-TYPE')]
конфеь	[(0, 6, 'B-TYPE')]
чай зеленый с	[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 13, 'O')]
сметына	[(0, 7, 'B-TYPE')]
platinum	[(0, 8, 'B-BRAND')]
фламенк	[(0, 7, 'B-TYPE')]
чечилл	[(0, 6, 'B-TYPE')]
семя льна	[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]
mor	[(0, 3, 'O')]
стиральный порошок 3 кг	[(0, 10, 'B-TYPE'), (11, 18, 'I-TYPE'), (19, 20, 'B-VOLUME'), (21, 23, 'I-VOLUME')]
сырокопчёная колбаса	[(0, 12, 'B-TYPE'), (13, 20, 'I-TYPE')]
холоне чи	[(0, 6, 'O'), (7, 9, 'O')]
печенье орешки	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
смесь замороженная	[(0, 5, 'B-TYPE'), (6, 18, 'I-TYPE')]
коржи самотло	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
производство маргарин	[(0, 12, 'B-BRAND'), (13, 21, 'B-TYPE')]
калаендари	[(0, 10, 'B-TYPE')]
fairyǰ	[(0, 6, 'B-BRAND')]
кофеварки	[(0, 9, 'B-TYPE')]
пастики	[(0, 7, 'B-TYPE')]
помидоры.	[(0, 9, 'B-TYPE')]
растяжитель collon	[(0, 11, 'B-TYPE'), (12, 18, 'B-BRAND')]
блины с таорогио	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O')]
cd дис	[(0, 2, 'B-TYPE'), (3, 6, 'I-TYPE')]
шебекинские	[(0, 11, 'B-BRAND')]
белый р	[(0, 5, 'B-TYPE'), (6, 7, 'I-TYPE')]
шампуня lume	[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
вареники с втшней	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
влажные салфетки де	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 19, 'O')]
водрости	[(0, 8, 'B-TYPE')]
пельмееги	[(0, 9, 'B-TYPE')]
рис длиннозёрный	[(0, 3, 'B-TYPE'), (4, 16, 'I-TYPE')]
тобус	[(0, 5, 'B-BRAND')]
твородная	[(0, 9, 'B-TYPE')]
сливок сухих	[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
кгазировка	[(0, 10, 'B-TYPE')]
твороне продуты	[(0, 7, 'O'), (8, 15, 'O')]
печеньег	[(0, 8, 'B-TYPE')]
гоодмикс	[(0, 8, 'B-TYPE')]
siner	[(0, 5, 'B-BRAND')]
сск	[(0, 3, 'O')]
яичный порош	[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
snaqfer	[(0, 7, 'B-TYPE')]
кша	[(0, 3, 'B-TYPE')]
порошок с	[(0, 7, 'B-TYPE'), (8, 9, 'B-BRAND')]
энеергтик	[(0, 9, 'B-TYPE')]
маршмалоу	[(0, 9, 'B-TYPE')]
булочка атрус	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
зубочисткя	[(0, 10, 'B-TYPE')]
эдомаме	[(0, 7, 'B-TYPE')]
паэльо	[(0, 6, 'B-TYPE')]
минеральная вода красная цена	[(0, 11, 'B-TYPE'), (12, 16, 'I-TYPE'), (17, 24, 'B-BRAND'), (25, 29, 'I-BRAND')]
юзефир	[(0, 6, 'B-TYPE')]
феникс спич	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
ситно кумыс	[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
coffe	[(0, 5, 'B-TYPE')]
рап	[(0, 3, 'B-TYPE')]
арубзы	[(0, 6, 'B-TYPE')]
кивих	[(0, 5, 'B-TYPE')]
топленое молоко	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
фруто няня чернослив	[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 20, 'B-TYPE')]
сгущёнки	[(0, 8, 'B-TYPE')]
сосискии	[(0, 8, 'B-TYPE')]
бумага koopman	[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
соус	[(0, 4, 'B-TYPE')]
ттортик	[(0, 7, 'B-TYPE')]
зонты raindrops	[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND')]
освжитель	[(0, 9, 'B-TYPE')]
консерваф	[(0, 9, 'B-TYPE')]
сыеча	[(0, 5, 'B-TYPE')]
ябло4и	[(0, 6, 'B-TYPE')]
сервеат	[(0, 7, 'B-TYPE')]
violet	[(0, 6, 'B-BRAND')]
русский прд	[(0, 7, 'O'), (8, 11, 'O')]
makfa круасса	[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE')]
чашхи	[(0, 5, 'B-TYPE')]
собачий корм	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
grazia плавки	[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
кусковой maitr	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
эпудинг	[(0, 7, 'B-TYPE')]
календари	[(0, 9, 'B-TYPE')]
проте	[(0, 5, 'B-TYPE')]
камбалообразные	[(0, 15, 'B-TYPE')]
творожоа	[(0, 8, 'B-TYPE')]
стрипс	[(0, 6, 'B-TYPE')]
прлстокваша	[(0, 11, 'B-TYPE')]
лук репчатый	[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE')]
хек марк	[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')]
страйпсы	[(0, 8, 'B-BRAND')]
сендвис	[(0, 7, 'B-TYPE')]
бойкал	[(0, 6, 'B-TYPE')]
голубтка	[(0, 8, 'B-TYPE')]
пензенский шпикачк	[(0, 10, 'B-BRAND'), (11, 18, 'B-TYPE')]
птица охлажденная	[(0, 5, 'B-TYPE'), (6, 17, 'I-TYPE')]
йогурт питьевой детский	[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 23, 'I-TYPE')]
крендельеи	[(0, 10, 'B-TYPE')]
спички фени	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
ирис пека	[(0, 4, 'B-TYPE'), (5, 9, 'B-BRAND')]
прочие тренаже	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
mafka	[(0, 5, 'B-BRAND')]
канртофель	[(0, 10, 'B-TYPE')]
пиццетта замороженный	[(0, 8, 'B-TYPE'), (9, 21, 'I-TYPE')]
освежитело	[(0, 10, 'B-TYPE')]
colla	[(0, 5, 'B-BRAND')]
соедстао для стирки	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
delikaizer	[(0, 10, 'B-BRAND')]
вафли классически	[(0, 5, 'B-TYPE'), (6, 17, 'I-TYPE')]
сок виноград	[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE')]
лошка	[(0, 5, 'B-TYPE')]
корм жидкий	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
эпомидор	[(0, 8, 'B-TYPE')]
маркет мюсли	[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
казы	[(0, 4, 'B-TYPE')]
адамилк	[(0, 7, 'B-TYPE')]
далматово конф	[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE')]
велес заливная	[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE')]
оладушков	[(0, 9, 'B-TYPE')]
сгущённое молоко	[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]
royal сид	[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]
яйхца	[(0, 5, 'B-TYPE')]
кур грудка	[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE')]
морквоь	[(0, 7, 'B-TYPE')]
одноразовые стаканчики	[(0, 11, 'B-TYPE'), (12, 22, 'I-TYPE')]
корм коту сухой	[(0, 4, 'B-TYPE'), (5, 9, 'O'), (10, 15, 'O')]
консервы из рыбы	[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 16, 'O')]
зажигалки tescoma	[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]
креветки очи	[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE')]
шпро	[(0, 4, 'B-TYPE')]
черный чай с бер	[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE'), (11, 12, 'O'), (13, 16, 'O')]
йисташки	[(0, 8, 'B-TYPE')]
фркуты	[(0, 6, 'B-TYPE')]
губбки	[(0, 6, 'B-TYPE')]
калачи петрохле	[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
ржано пшеничный без дрожжевой	[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE'), (16, 19, 'O'), (20, 29, 'O')]
вектор дома	[(0, 6, 'B-BRAND'), (7, 11, 'O')]
пек	[(0, 3, 'B-TYPE')]
срочно запеченный	[(0, 6, 'O'), (7, 17, 'B-TYPE')]
грунтприправа для плова	[(0, 13, 'B-TYPE'), (14, 17, 'O'), (18, 23, 'O')]
мятн	[(0, 4, 'B-TYPE')]
кинзу	[(0, 5, 'B-TYPE')]
соль пищевая	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
огкурец	[(0, 7, 'B-TYPE')]
бумагой koopman	[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]
греч0ка	[(0, 7, 'B-TYPE')]
энергие	[(0, 7, 'B-TYPE')]
лебенец	[(0, 7, 'B-TYPE')]
kotanyi васаб	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
макаронв	[(0, 8, 'B-TYPE')]
екмпинг	[(0, 7, 'B-TYPE')]
grande	[(0, 6, 'B-BRAND')]
топленное вкусняе	[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]
кокосинки	[(0, 9, 'B-TYPE')]
аб	[(0, 2, 'O')]
bled	[(0, 4, 'O')]
sancor	[(0, 6, 'B-BRAND')]
гурме слив	[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
гречкац	[(0, 7, 'B-TYPE')]
кусковой maitre	[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]
сардины делати	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
papadimitriou капуста	[(0, 13, 'B-BRAND'), (14, 21, 'B-TYPE')]
шпиком	[(0, 6, 'B-TYPE')]
дмитровский твор	[(0, 11, 'B-BRAND'), (12, 16, 'B-TYPE')]
кассеты	[(0, 7, 'B-TYPE')]
нарины	[(0, 6, 'O')]
льеноное	[(0, 8, 'B-TYPE')]
грейпрукт	[(0, 9, 'B-TYPE')]
сардедьки	[(0, 9, 'B-TYPE')]
цыплено	[(0, 7, 'B-TYPE')]
ln	[(0, 2, 'O')]
alpenl	[(0, 6, 'B-BRAND')]
свеча son	[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
масл	[(0, 4, 'B-TYPE')]
сольчтчон	[(0, 9, 'B-TYPE')]
посмидоры	[(0, 9, 'B-TYPE')]
бальзам для воло	[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O')]
националь ну	[(0, 9, 'B-BRAND'), (10, 12, 'B-TYPE')]
тростниковый	[(0, 12, 'B-TYPE')]
крабовыйг	[(0, 9, 'B-TYPE')]
рыба масляная	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
хлеб подовый с зернами	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 14, 'O'), (15, 22, 'O')]
обложки index	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
батон хлебосольн	[(0, 5, 'B-TYPE'), (6, 16, 'B-BRAND')]
нрудка	[(0, 6, 'B-TYPE')]
нут	[(0, 3, 'B-TYPE')]
meinl	[(0, 5, 'B-BRAND')]
антинакипин	[(0, 11, 'B-TYPE')]
коломенский кто-нибудь	[(0, 11, 'B-BRAND'), (12, 22, 'O')]
листья сплата	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
альбомы neff	[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
спреды	[(0, 6, 'B-TYPE')]
квашены	[(0, 7, 'B-TYPE')]
pramalat	[(0, 8, 'B-BRAND')]
рязык	[(0, 5, 'B-TYPE')]
творо6	[(0, 6, 'B-TYPE')]
капсу	[(0, 5, 'B-TYPE')]
чебрук	[(0, 6, 'B-TYPE')]
мюслт	[(0, 5, 'B-TYPE')]
кабояки	[(0, 7, 'B-TYPE')]
мороженно	[(0, 9, 'B-TYPE')]
баранина охлажденна	[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE')]
с картофелем и грибами	[(0, 1, 'O'), (2, 12, 'O'), (13, 14, 'O'), (15, 22, 'O')]
бергамотом	[(0, 10, 'B-TYPE')]
пельмешата	[(0, 10, 'B-TYPE')]
мораль	[(0, 6, 'O')]
кому-нибудь cheetos	[(0, 11, 'O'), (12, 19, 'B-BRAND')]
соль поваренная	[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE')]
роти	[(0, 4, 'B-TYPE')]
ежиднефки	[(0, 9, 'B-TYPE')]
doodmix	[(0, 7, 'B-BRAND')]
одноразовая станда	[(0, 11, 'B-TYPE'), (12, 18, 'I-TYPE')]
коробки, корзин	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
желатин айди	[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
