sample;annotation
добрый кола;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
производство ды;[(0, 12, 'B-BRAND'), (13, 15, 'O')]
прозводство;[(0, 11, 'B-BRAND')]
прризводство;[(0, 12, 'B-BRAND')]
sok;[(0, 3, 'B-TYPE')]
грлм;[(0, 4, 'O')]
ывап;[(0, 4, 'O')]
арпр;[(0, 4, 'O')]
йцус;[(0, 4, 'O')]
лрпо;[(0, 4, 'O')]
нпаы;[(0, 4, 'O')]
апвр;[(0, 4, 'O')]
итар;[(0, 4, 'O')]
оенг;[(0, 4, 'O')]
почиеоощ;[(0, 8, 'O')]
цян;[(0, 3, 'O')]
слг;[(0, 3, 'O')]
гзя;[(0, 3, 'O')]
лон;[(0, 3, 'O')]
щчж;[(0, 3, 'O')]
рсс;[(0, 3, 'O')]
лмм;[(0, 3, 'O')]
йью;[(0, 3, 'O')]
еас;[(0, 3, 'O')]
гдч;[(0, 3, 'O')]
мфх;[(0, 3, 'O')]
йас;[(0, 3, 'O')]
аюм;[(0, 3, 'O')]
ишэ;[(0, 3, 'O')]
цдж;[(0, 3, 'O')]
зшф;[(0, 3, 'O')]
екй;[(0, 3, 'O')]
птк;[(0, 3, 'O')]
акя;[(0, 3, 'O')]
мшв;[(0, 3, 'O')]
щчй;[(0, 3, 'O')]
рзк;[(0, 3, 'O')]
рвь;[(0, 3, 'O')]
тзщ;[(0, 3, 'O')]
бкт;[(0, 3, 'O')]
фшб;[(0, 3, 'O')]
ыид;[(0, 3, 'O')]
эха;[(0, 3, 'O')]
всв;[(0, 3, 'O')]
вфй;[(0, 3, 'O')]
зча;[(0, 3, 'O')]
эзо;[(0, 3, 'O')]
вьт;[(0, 3, 'O')]
длс;[(0, 3, 'O')]
чпб;[(0, 3, 'O')]
чущ;[(0, 3, 'O')]
вян;[(0, 3, 'O')]
вдж;[(0, 3, 'O')]
яью;[(0, 3, 'O')]
ннр;[(0, 3, 'O')]
мрж;[(0, 3, 'O')]
рид;[(0, 3, 'O')]
ньщ;[(0, 3, 'O')]
оме;[(0, 3, 'O')]
икш;[(0, 3, 'O')]
ъжл;[(0, 3, 'O')]
эзб;[(0, 3, 'O')]
чзп;[(0, 3, 'O')]
чюю;[(0, 3, 'O')]
ъйн;[(0, 3, 'O')]
нуы;[(0, 3, 'O')]
жзя;[(0, 3, 'O')]
кэя;[(0, 3, 'O')]
нкь;[(0, 3, 'O')]
зиы;[(0, 3, 'O')]
хлд;[(0, 3, 'O')]
бъэ;[(0, 3, 'O')]
вчаи;[(0, 4, 'O')]
йяеа;[(0, 4, 'O')]
мэыы;[(0, 4, 'O')]
цезь;[(0, 4, 'O')]
сгфх;[(0, 4, 'O')]
щхыт;[(0, 4, 'O')]
шйчэ;[(0, 4, 'O')]
бзее;[(0, 4, 'O')]
ьзож;[(0, 4, 'O')]
блкю;[(0, 4, 'O')]
дбъи;[(0, 4, 'O')]
чеци;[(0, 4, 'O')]
псфо;[(0, 4, 'O')]
црък;[(0, 4, 'O')]
ччая;[(0, 4, 'O')]
еьдб;[(0, 4, 'O')]
мяъи;[(0, 4, 'O')]
ктне;[(0, 4, 'O')]
гадю;[(0, 4, 'O')]
цхот;[(0, 4, 'O')]
нжмр;[(0, 4, 'O')]
шяме;[(0, 4, 'O')]
шкюа;[(0, 4, 'O')]
дьжк;[(0, 4, 'O')]
бтвщ;[(0, 4, 'O')]
длсю;[(0, 4, 'O')]
ънзе;[(0, 4, 'O')]
шлхк;[(0, 4, 'O')]
жхву;[(0, 4, 'O')]
вяид;[(0, 4, 'O')]
шфуа;[(0, 4, 'O')]
эб;[(0, 2, 'O')]
ын;[(0, 2, 'O')]
цд;[(0, 2, 'O')]
оы;[(0, 2, 'O')]
аф;[(0, 2, 'O')]
пф;[(0, 2, 'O')]
гз;[(0, 2, 'O')]
эц;[(0, 2, 'O')]
ъл;[(0, 2, 'O')]
пт;[(0, 2, 'O')]
сн;[(0, 2, 'O')]
мх;[(0, 2, 'O')]
ла;[(0, 2, 'O')]
во;[(0, 2, 'O')]
цн;[(0, 2, 'O')]
че;[(0, 2, 'O')]
яв;[(0, 2, 'O')]
мч;[(0, 2, 'O')]
та;[(0, 2, 'O')]
эш;[(0, 2, 'O')]
фк;[(0, 2, 'O')]
ух;[(0, 2, 'O')]
рн;[(0, 2, 'O')]
хп;[(0, 2, 'O')]
ды;[(0, 2, 'O')]
ао;[(0, 2, 'O')]
дю;[(0, 2, 'O')]
ыч;[(0, 2, 'O')]
жи;[(0, 2, 'O')]
хи;[(0, 2, 'O')]
дш;[(0, 2, 'O')]
но;[(0, 2, 'O')]
ет;[(0, 2, 'O')]
ио;[(0, 2, 'O')]
фа;[(0, 2, 'O')]
тв;[(0, 2, 'O')]
рф;[(0, 2, 'O')]
пщ;[(0, 2, 'O')]
иъ;[(0, 2, 'O')]
лъ;[(0, 2, 'O')]
вь;[(0, 2, 'O')]
лл;[(0, 2, 'O')]
нй;[(0, 2, 'O')]
ом;[(0, 2, 'O')]
ут;[(0, 2, 'O')]
пи;[(0, 2, 'O')]
зю;[(0, 2, 'O')]
уг;[(0, 2, 'O')]
ла;[(0, 2, 'O')]
ск;[(0, 2, 'O')]
хщ;[(0, 2, 'O')]
жц;[(0, 2, 'O')]
хъ;[(0, 2, 'O')]
чн;[(0, 2, 'O')]
эъ;[(0, 2, 'O')]
юп;[(0, 2, 'O')]
юч;[(0, 2, 'O')]
вф;[(0, 2, 'O')]
уц;[(0, 2, 'O')]
шс;[(0, 2, 'O')]
ыф;[(0, 2, 'O')]
гю;[(0, 2, 'O')]
са;[(0, 2, 'O')]
нц;[(0, 2, 'O')]
щч;[(0, 2, 'O')]
ця;[(0, 2, 'O')]
рв;[(0, 2, 'O')]
кв;[(0, 2, 'O')]
ыж;[(0, 2, 'O')]
жщ;[(0, 2, 'O')]
ъш;[(0, 2, 'O')]
рн;[(0, 2, 'O')]
эо;[(0, 2, 'O')]
ги;[(0, 2, 'O')]
цс;[(0, 2, 'O')]
мь;[(0, 2, 'O')]
