sample;annotation
золотой петушок;[(0, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
зоохрук;[(0, 7, 'B-TYPE')]
зоохрум;[(0, 7, 'B-TYPE')]
зра;[(0, 3, 'O')]
зубатка;[(0, 7, 'B-TYPE')]
зубачистк;[(0, 9, 'B-TYPE')]
зубачистка;[(0, 10, 'B-TYPE')]
зубачистки;[(0, 10, 'B-TYPE')]
зублчистки;[(0, 10, 'B-TYPE')]
зубосистк;[(0, 9, 'B-TYPE')]
зубочимтки;[(0, 10, 'B-TYPE')]
зубочисики;[(0, 10, 'B-TYPE')]
зубочиск;[(0, 8, 'B-TYPE')]
зубочист;[(0, 8, 'B-TYPE')]
зубочистк;[(0, 9, 'B-TYPE')]
зубочистка русалоч;[(0, 10, 'B-TYPE'), (11, 18, 'B-BRAND')]
зубочистка русалочка;[(0, 10, 'B-TYPE'), (11, 20, 'B-BRAND')]
зубочистка чистю;[(0, 10, 'B-TYPE'), (11, 16, 'B-BRAND')]
зубочистка чистюля;[(0, 10, 'B-TYPE'), (11, 18, 'B-BRAND')]
зубочистки;[(0, 10, 'B-TYPE')]
зубочистки celes;[(0, 10, 'B-TYPE'), (11, 16, 'B-BRAND')]
зубочистки celest;[(0, 10, 'B-TYPE'), (11, 17, 'B-BRAND')]
зубочистки celesta;[(0, 10, 'B-TYPE'), (11, 18, 'B-BRAND')]
зубочистки русалоч;[(0, 10, 'B-TYPE'), (11, 18, 'B-BRAND')]
зубочистки русалочк;[(0, 10, 'B-TYPE'), (11, 19, 'B-BRAND')]
зубочисткя;[(0, 10, 'B-TYPE')]
зубочичтки;[(0, 10, 'B-TYPE')]
зы;[(0, 2, 'O')]
иайнез;[(0, 6, 'B-TYPE')]
иайонез;[(0, 7, 'B-TYPE')]
иайонех;[(0, 7, 'B-TYPE')]
иахито;[(0, 6, 'B-TYPE')]
иацонез;[(0, 7, 'B-TYPE')]
ивой нфильтрованное;[(0, 4, 'O'), (5, 19, 'O')]
иклер;[(0, 5, 'B-TYPE')]
инбейка;[(0, 7, 'B-TYPE')]
инжейка;[(0, 7, 'B-TYPE')]
искусственные;[(0, 13, 'B-TYPE')]
исыр;[(0, 4, 'B-TYPE')]
иука;[(0, 4, 'B-BRAND')]
ищевая плена;[(0, 6, 'O'), (7, 12, 'O')]
иыло;[(0, 4, 'B-TYPE')]
июгурт;[(0, 6, 'B-TYPE')]
иёд;[(0, 3, 'B-TYPE')]
йигурт;[(0, 6, 'B-TYPE')]
йиле;[(0, 4, 'B-TYPE')]
йиогурт;[(0, 7, 'B-TYPE')]
йиогурты;[(0, 8, 'B-TYPE')]
йконфеты;[(0, 8, 'B-TYPE')]
йлгурт;[(0, 6, 'B-TYPE')]
йлгурт⁷;[(0, 7, 'B-TYPE')]
йола купа;[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]
йола купат;[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE')]
йола купаты;[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE')]
йоурпитьевое;[(0, 12, 'O')]
казы;[(0, 4, 'B-TYPE')]
казылык;[(0, 7, 'B-TYPE')]
калинов;[(0, 7, 'B-BRAND')]
камбола;[(0, 7, 'B-TYPE')]
кампана;[(0, 7, 'B-BRAND')]
канап;[(0, 5, 'B-TYPE')]
канапе;[(0, 6, 'B-TYPE')]
каотофель;[(0, 9, 'B-TYPE')]
каотошка;[(0, 8, 'B-TYPE')]
каоьмар;[(0, 7, 'B-TYPE')]
капитан усов;[(0, 7, 'O'), (8, 12, 'O')]
кгазировка;[(0, 10, 'B-TYPE')]
кевира;[(0, 6, 'B-TYPE')]
кезский;[(0, 7, 'B-BRAND')]
кенза;[(0, 5, 'B-BRAND')]
кепчуп;[(0, 6, 'B-BRAND')]
керьешки;[(0, 8, 'B-TYPE')]
кидька;[(0, 6, 'B-TYPE')]
киевский;[(0, 8, 'B-BRAND')]
кизель;[(0, 6, 'B-TYPE')]
киреешки;[(0, 8, 'B-TYPE')]
кирешки;[(0, 7, 'B-TYPE')]
кккуруза;[(0, 8, 'B-TYPE')]
ккртошка;[(0, 8, 'B-TYPE')]
клбоса;[(0, 6, 'B-TYPE')]
кллбаса;[(0, 7, 'B-TYPE')]
клрнюшоны;[(0, 9, 'B-TYPE')]
кльаса;[(0, 6, 'B-TYPE')]
клюл;[(0, 4, 'B-TYPE')]
кнаски;[(0, 6, 'B-TYPE')]
кнели;[(0, 5, 'B-TYPE')]
кнфеты;[(0, 6, 'B-TYPE')]
коаефир;[(0, 7, 'B-TYPE')]
коем для ног;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 12, 'O')]
коз;[(0, 3, 'B-TYPE')]
козел;[(0, 5, 'B-TYPE')]
козелк;[(0, 6, 'B-TYPE')]
козелки;[(0, 7, 'B-TYPE')]
козельская;[(0, 10, 'B-TYPE')]
кози;[(0, 4, 'B-TYPE')]
козий;[(0, 5, 'B-TYPE')]
козин;[(0, 5, 'B-TYPE')]
козина;[(0, 6, 'B-TYPE')]
козинаеи;[(0, 8, 'B-TYPE')]
козинак;[(0, 7, 'B-TYPE')]
козинака;[(0, 8, 'B-TYPE')]
козинаки;[(0, 8, 'B-TYPE')]
козинаки богучарские;[(0, 8, 'B-TYPE'), (9, 20, 'I-TYPE')]
козинауи;[(0, 8, 'B-TYPE')]
козинка;[(0, 7, 'B-TYPE')]
козоч;[(0, 5, 'B-TYPE')]
козтнае;[(0, 7, 'B-TYPE')]
козье;[(0, 5, 'B-TYPE')]
козьего;[(0, 7, 'B-TYPE')]
колбсныеиздеия;[(0, 14, 'O')]
колечки на крылечке;[(0, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 19, 'I-BRAND')]
колу;[(0, 4, 'B-BRAND')]
кому-нибудь atmosphere;[(0, 11, 'O'), (12, 22, 'B-BRAND')]
кому-нибудь cheetos;[(0, 11, 'O'), (12, 19, 'B-BRAND')]
конм;[(0, 4, 'B-TYPE')]
конм для рук;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 12, 'O')]
конопли;[(0, 7, 'B-TYPE')]
конопляная;[(0, 10, 'B-TYPE')]
кооеч4и;[(0, 7, 'B-TYPE')]
коорица;[(0, 7, 'B-TYPE')]
корейска;[(0, 8, 'B-BRAND')]
косервы;[(0, 7, 'B-TYPE')]
коутейль;[(0, 8, 'B-TYPE')]
кохеварок;[(0, 9, 'B-TYPE')]
кпфир;[(0, 5, 'B-TYPE')]
крв;[(0, 3, 'B-TYPE')]
крвбовые;[(0, 8, 'B-TYPE')]
крнветки;[(0, 8, 'B-TYPE')]
крошево;[(0, 7, 'B-TYPE')]
крпы;[(0, 4, 'B-TYPE')]
ктлбаса;[(0, 7, 'B-TYPE')]
куасаны;[(0, 7, 'B-TYPE')]
куассан;[(0, 7, 'B-TYPE')]
куклы;[(0, 5, 'B-TYPE')]
кумкват;[(0, 7, 'B-TYPE')]
кумыс;[(0, 5, 'B-TYPE')]
куночка;[(0, 7, 'O')]
купальник;[(0, 9, 'B-TYPE')]
купальники;[(0, 10, 'B-TYPE')]
купат;[(0, 5, 'B-TYPE')]
купата;[(0, 6, 'B-TYPE')]
купаты;[(0, 6, 'B-TYPE')]
купаты cherkizo;[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
купаты cherkizov;[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]
купаты cherkizovo;[(0, 6, 'B-TYPE'), (7, 17, 'B-BRAND')]
купаты crayo;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
купаты crayola;[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
купаты павловская курочка;[(0, 6, 'B-TYPE'), (7, 17, 'B-BRAND'), (18, 25, 'I-BRAND')]
купаты черкизов;[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
купаты черкизово;[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]
купаты.;[(0, 7, 'B-TYPE')]
кухмастер;[(0, 9, 'B-BRAND')]
кша;[(0, 3, 'B-TYPE')]
лаващ;[(0, 5, 'B-BRAND')]
лайт;[(0, 4, 'B-TYPE')]
лвощи;[(0, 5, 'B-TYPE')]
лгти;[(0, 4, 'O')]
лебный;[(0, 6, 'B-TYPE')]
леовит;[(0, 6, 'B-BRAND')]
лзанья;[(0, 6, 'B-TYPE')]
лкубника;[(0, 8, 'B-TYPE')]
лобзи;[(0, 5, 'B-TYPE')]
лобзики;[(0, 7, 'B-TYPE')]
лобио;[(0, 5, 'B-TYPE')]
ловужка;[(0, 7, 'B-TYPE')]
ловузшки;[(0, 8, 'B-TYPE')]
ловушке;[(0, 7, 'B-TYPE')]
ловшуке;[(0, 7, 'B-TYPE')]
лпсточка;[(0, 8, 'B-TYPE')]
лужайкино;[(0, 9, 'B-BRAND')]
лукц;[(0, 4, 'B-TYPE')]
льяное;[(0, 6, 'B-TYPE')]
льяняное;[(0, 8, 'B-TYPE')]
люминарк чаш;[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
лён;[(0, 3, 'B-TYPE')]
маайонез;[(0, 8, 'B-TYPE')]
магги для борща;[(0, 5, 'B-BRAND'), (6, 9, 'O'), (10, 15, 'O')]
магги для гуляша;[(0, 5, 'B-BRAND'), (6, 9, 'O'), (10, 16, 'O')]
маги для курицы;[(0, 4, 'B-BRAND'), (5, 8, 'O'), (9, 15, 'O')]
мажатель;[(0, 8, 'B-TYPE')]
мажитеоь;[(0, 8, 'B-TYPE')]
мажиткель;[(0, 9, 'B-TYPE')]
мажитне;[(0, 7, 'B-TYPE')]
мазь от укусов;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
майнез;[(0, 6, 'B-BRAND')]
макада;[(0, 6, 'B-BRAND')]
максвел чашки;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
макфа;[(0, 5, 'B-BRAND')]
малютку;[(0, 7, 'B-TYPE')]
мандаи;[(0, 6, 'O')]
маойне;[(0, 6, 'B-TYPE')]
маонез;[(0, 6, 'B-TYPE')]
маоонез;[(0, 7, 'B-TYPE')]
маорковь;[(0, 8, 'B-TYPE')]
маркет мюс;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
маркет мюсл;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
маркет мюсли;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
мацени;[(0, 6, 'B-TYPE')]
мацнез;[(0, 6, 'B-TYPE')]
мацо;[(0, 4, 'B-TYPE')]
мацон;[(0, 5, 'B-TYPE')]
мацоне;[(0, 6, 'B-TYPE')]
мацонез;[(0, 7, 'B-TYPE')]
мацонезнвй;[(0, 10, 'B-TYPE')]
мацонещ;[(0, 7, 'B-TYPE')]
мацони;[(0, 6, 'B-TYPE')]
мвйноез;[(0, 7, 'B-TYPE')]
мвйонез;[(0, 7, 'B-TYPE')]
мгрушки;[(0, 7, 'B-TYPE')]
межовик;[(0, 7, 'B-TYPE')]
мелл;[(0, 4, 'B-TYPE')]
мервелат;[(0, 8, 'B-TYPE')]
мермелад;[(0, 8, 'B-TYPE')]
мермеладки;[(0, 10, 'B-TYPE')]
мермилад;[(0, 8, 'B-TYPE')]
мернералка;[(0, 10, 'B-TYPE')]
метана;[(0, 6, 'B-TYPE')]
миеералка;[(0, 9, 'B-TYPE')]
мил;[(0, 3, 'B-TYPE')]
милк;[(0, 4, 'B-TYPE')]
милкв;[(0, 5, 'B-TYPE')]
милке;[(0, 5, 'B-TYPE')]
милкк;[(0, 5, 'B-TYPE')]
милкка;[(0, 6, 'B-TYPE')]
милкп;[(0, 5, 'B-TYPE')]
мираторг купат;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
мллко;[(0, 5, 'B-TYPE')]
млллко;[(0, 6, 'B-TYPE')]
млрков;[(0, 6, 'B-TYPE')]
млрковб;[(0, 7, 'B-TYPE')]
млрковь;[(0, 7, 'B-TYPE')]
ммакароны;[(0, 9, 'B-TYPE')]
ммолочный;[(0, 9, 'B-TYPE')]
мндейка;[(0, 7, 'B-TYPE')]
мовкорь;[(0, 7, 'B-TYPE')]
моиоженое;[(0, 9, 'B-TYPE')]
моооженое;[(0, 9, 'B-TYPE')]
моор;[(0, 4, 'B-TYPE')]
моорженое;[(0, 9, 'B-TYPE')]
моороженое;[(0, 10, 'B-TYPE')]
моочны знк;[(0, 6, 'O'), (7, 10, 'O')]
морз;[(0, 4, 'O')]
мошоко;[(0, 6, 'B-TYPE')]
мояалка;[(0, 7, 'B-TYPE')]
мредство;[(0, 8, 'B-TYPE')]
мрйва;[(0, 5, 'B-TYPE')]
мрлоко;[(0, 6, 'B-TYPE')]
мсало;[(0, 5, 'B-TYPE')]
мсслины;[(0, 7, 'B-TYPE')]
мсухарики;[(0, 9, 'B-TYPE')]
мтинералка;[(0, 10, 'B-TYPE')]
мтнераль;[(0, 8, 'B-TYPE')]
мтнеральная;[(0, 11, 'B-TYPE')]
муки;[(0, 4, 'B-TYPE')]
муусор;[(0, 6, 'B-TYPE')]
муфле;[(0, 5, 'B-TYPE')]
мушму;[(0, 5, 'B-TYPE')]
мушмул;[(0, 6, 'B-TYPE')]
мушмула;[(0, 7, 'B-TYPE')]
мчя;[(0, 3, 'B-TYPE')]
мырный;[(0, 6, 'B-TYPE')]
мышк;[(0, 4, 'B-TYPE')]
мышка;[(0, 5, 'B-TYPE')]
мюс;[(0, 3, 'B-TYPE')]
мюсл;[(0, 4, 'B-TYPE')]
мюсли;[(0, 5, 'B-TYPE')]
мюсли bonneter;[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
мюсли bonneterr;[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND')]
мюсли bonneterre;[(0, 5, 'B-TYPE'), (6, 16, 'B-BRAND')]
мюсли marc&фис;[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
мюсли marc&фиса;[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND')]
мюсли ros;[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
мюсли rost;[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
мюсли schwart;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
мюсли schwarta;[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
мюсли schwartau;[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND')]
мюсли быстров;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
мюсли вастэ;[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
мюсли вастэк;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
мюсли вастэко;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
мюсли любято;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
мюсли любятов;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
мюсли любятово;[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
мюсли с бананом;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 15, 'O')]
мюсли с орехами;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 15, 'O')]
мюслии;[(0, 6, 'B-TYPE')]
мюслик;[(0, 6, 'B-TYPE')]
мюслм;[(0, 5, 'B-TYPE')]
мюслт;[(0, 5, 'B-TYPE')]
мюсои;[(0, 5, 'B-TYPE')]
мюстли;[(0, 6, 'B-TYPE')]
мюсши;[(0, 5, 'B-TYPE')]
мяосовощные;[(0, 11, 'B-TYPE')]
мят;[(0, 3, 'B-TYPE')]
мятой;[(0, 5, 'B-TYPE')]
мяыли;[(0, 5, 'B-TYPE')]
мёроженная;[(0, 10, 'B-TYPE')]
намолнитель;[(0, 11, 'B-TYPE')]
нампиньоны;[(0, 10, 'B-TYPE')]
наршара;[(0, 7, 'B-TYPE')]
наршараб;[(0, 8, 'B-TYPE')]
натс;[(0, 4, 'B-TYPE')]
нгречка;[(0, 7, 'B-TYPE')]
недалеко козинаки;[(0, 8, 'O'), (9, 17, 'B-TYPE')]
нель для стиркищ;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 16, 'O')]
несолоко;[(0, 8, 'B-TYPE')]
нивея;[(0, 5, 'B-BRAND')]
никтарины;[(0, 9, 'B-TYPE')]
нкмолоко;[(0, 8, 'B-TYPE')]
ноицы;[(0, 5, 'O')]
ноловы;[(0, 6, 'B-TYPE')]
нрейпфрут;[(0, 9, 'B-TYPE')]
нрибной;[(0, 7, 'B-TYPE')]
нудинг;[(0, 6, 'B-TYPE')]
нф чаш;[(0, 2, 'B-BRAND'), (3, 6, 'B-TYPE')]
нф чашк;[(0, 2, 'B-BRAND'), (3, 7, 'B-TYPE')]
нф чашка;[(0, 2, 'B-BRAND'), (3, 8, 'B-TYPE')]
нёаггетсы;[(0, 9, 'B-TYPE')]
оаденое;[(0, 7, 'O')]
оассольник;[(0, 10, 'B-TYPE')]
обрикос;[(0, 7, 'B-TYPE')]
овяное;[(0, 6, 'B-TYPE')]
огигири;[(0, 7, 'B-TYPE')]
огинири;[(0, 7, 'B-TYPE')]
огруре;[(0, 6, 'B-TYPE')]
огрурец;[(0, 7, 'B-TYPE')]
огрурц;[(0, 6, 'B-TYPE')]
огрурцв;[(0, 7, 'B-TYPE')]
огруры;[(0, 6, 'B-TYPE')]
огруцв;[(0, 6, 'B-TYPE')]
огруце;[(0, 6, 'B-TYPE')]
огрцы;[(0, 5, 'B-TYPE')]
огрчики;[(0, 7, 'B-TYPE')]
огтетчка;[(0, 8, 'O')]
одёяло;[(0, 6, 'B-TYPE')]
оерх;[(0, 4, 'B-TYPE')]
оерхи;[(0, 5, 'B-TYPE')]
ожей кухнн;[(0, 4, 'O'), (5, 10, 'O')]
озерк;[(0, 5, 'B-TYPE')]
оидор консервированые;[(0, 5, 'O'), (6, 21, 'O')]
оиздство;[(0, 8, 'O')]
окмкое;[(0, 6, 'B-TYPE')]
окун;[(0, 4, 'B-TYPE')]
олготки;[(0, 7, 'B-TYPE')]
омывай;[(0, 6, 'B-TYPE')]
омывайка;[(0, 8, 'B-TYPE')]
онфты шоколница;[(0, 5, 'O'), (6, 15, 'O')]
ооурец;[(0, 6, 'B-TYPE')]
опласкиватель;[(0, 13, 'B-TYPE')]
ороств;[(0, 6, 'O')]
орхиде;[(0, 6, 'B-TYPE')]
орхидеи;[(0, 7, 'B-TYPE')]
осминоги;[(0, 8, 'B-TYPE')]
осноорская;[(0, 10, 'O')]
оусов;[(0, 5, 'B-TYPE')]
офеварка;[(0, 8, 'B-TYPE')]
офсяное;[(0, 7, 'B-TYPE')]
ощна смсь;[(0, 4, 'O'), (5, 9, 'O')]
ояденка;[(0, 7, 'B-TYPE')]
ояйственно мыл;[(0, 10, 'O'), (11, 14, 'O')]
пайонез;[(0, 7, 'B-TYPE')]
пвловска курочка;[(0, 8, 'O'), (9, 16, 'O')]
пгмидор;[(0, 7, 'B-TYPE')]
пееец;[(0, 5, 'B-TYPE')]
пеец;[(0, 4, 'B-TYPE')]
пеирушка;[(0, 8, 'B-TYPE')]
пензенский шпикачк;[(0, 10, 'B-BRAND'), (11, 18, 'B-TYPE')]
пеоец;[(0, 5, 'B-TYPE')]
пепси кола добрый;[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 17, 'O')]
перересток slct;[(0, 10, 'O'), (11, 15, 'O')]
песенье;[(0, 7, 'B-TYPE')]
песенье с клюквой;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
песенье с сахаром;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
песннье;[(0, 7, 'B-TYPE')]
петеленка;[(0, 9, 'B-TYPE')]
пеьмени;[(0, 7, 'B-TYPE')]
пеьрушка;[(0, 8, 'B-TYPE')]
пинцеса;[(0, 7, 'O')]
пиосуда;[(0, 7, 'B-TYPE')]
пипа;[(0, 4, 'B-TYPE')]
пирправ;[(0, 7, 'B-TYPE')]
питив;[(0, 5, 'O')]
пйво;[(0, 4, 'B-TYPE')]
пкола;[(0, 5, 'B-TYPE')]
пкстила;[(0, 7, 'B-TYPE')]
плбшка;[(0, 6, 'B-TYPE')]
пманты;[(0, 6, 'B-TYPE')]
пмцца;[(0, 5, 'B-TYPE')]
пнльмени;[(0, 8, 'B-TYPE')]
пнльмнни;[(0, 8, 'B-TYPE')]
пнмидор;[(0, 7, 'B-TYPE')]
пнтиперспирпнт;[(0, 14, 'B-TYPE')]
по-российски;[(0, 12, 'B-TYPE')]
по́мидоры;[(0, 9, 'B-TYPE')]
повый;[(0, 5, 'O')]
погремуше;[(0, 9, 'B-TYPE')]
погремушек;[(0, 10, 'B-TYPE')]
погремушек бим;[(0, 10, 'B-TYPE'), (11, 14, 'B-BRAND')]
погремушек бимб;[(0, 10, 'B-TYPE'), (11, 15, 'B-BRAND')]
погремушек бимбо;[(0, 10, 'B-TYPE'), (11, 16, 'B-BRAND')]
погремушек сим;[(0, 10, 'B-TYPE'), (11, 14, 'B-BRAND')]
погремушек э;[(0, 10, 'B-TYPE'), (11, 12, 'B-BRAND')]
погремушек эр;[(0, 10, 'B-TYPE'), (11, 13, 'B-BRAND')]
погремушек эра;[(0, 10, 'B-TYPE'), (11, 14, 'B-BRAND')]
погремушк;[(0, 9, 'B-TYPE')]
погремушка;[(0, 10, 'B-TYPE')]
погремушки;[(0, 10, 'B-TYPE')]
погремушки fisher-pric;[(0, 10, 'B-TYPE'), (11, 22, 'B-BRAND')]
погремушки fisher-price;[(0, 10, 'B-TYPE'), (11, 23, 'B-BRAND')]
погремушки glob;[(0, 10, 'B-TYPE'), (11, 15, 'B-BRAND')]
погремушки globa;[(0, 10, 'B-TYPE'), (11, 16, 'B-BRAND')]
погремушки simb;[(0, 10, 'B-TYPE'), (11, 15, 'B-BRAND')]
погремушки sisi;[(0, 10, 'B-TYPE'), (11, 15, 'B-BRAND')]
погремушки плейг;[(0, 10, 'B-TYPE'), (11, 16, 'B-BRAND')]
погремушха;[(0, 10, 'B-TYPE')]
подоеьники;[(0, 10, 'O')]
подше;[(0, 5, 'O')]
покрао плед;[(0, 6, 'O'), (7, 11, 'O')]
поничик;[(0, 7, 'B-TYPE')]
поничики;[(0, 8, 'B-TYPE')]
понкейк;[(0, 7, 'B-TYPE')]
пончи4;[(0, 6, 'B-TYPE')]
пончика;[(0, 7, 'B-TYPE')]
пончике;[(0, 7, 'B-TYPE')]
пончики;[(0, 7, 'B-TYPE')]
пончики берлинские;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]
пончики с ваниль;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
пончикиу;[(0, 8, 'B-TYPE')]
пончикм;[(0, 7, 'B-TYPE')]
пончикн;[(0, 7, 'B-TYPE')]
пончикп;[(0, 7, 'B-TYPE')]
пончикт;[(0, 7, 'B-TYPE')]
пончикх;[(0, 7, 'B-TYPE')]
пончикч;[(0, 7, 'B-TYPE')]
потешки;[(0, 7, 'B-TYPE')]
ппечень;[(0, 7, 'B-TYPE')]
ппомидоры;[(0, 9, 'B-TYPE')]
пр!ст вил;[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]
пр!ст вилк;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
пр!ст вилка;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
пр!ст цикор;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
пр!ст цикори;[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
пр!ст цикорич;[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE')]
прдушечки;[(0, 9, 'B-TYPE')]
приожное;[(0, 8, 'B-TYPE')]
прлстокваша;[(0, 11, 'B-TYPE')]
прльмени;[(0, 8, 'B-TYPE')]
прнчики;[(0, 7, 'B-TYPE')]
прои ббвые;[(0, 4, 'O'), (5, 10, 'O')]
проий тексиль;[(0, 5, 'O'), (6, 13, 'O')]
прочее оборудваие;[(0, 6, 'O'), (7, 17, 'O')]
прсики;[(0, 6, 'B-TYPE')]
прсок;[(0, 5, 'B-TYPE')]
пртк;[(0, 4, 'O')]
птеочка;[(0, 7, 'O')]
пулет мясная ферма;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 18, 'I-BRAND')]
пундин;[(0, 6, 'B-TYPE')]
путассу;[(0, 7, 'B-TYPE')]
путтасу;[(0, 7, 'B-TYPE')]
пцрина;[(0, 6, 'B-TYPE')]
пшнено;[(0, 6, 'B-TYPE')]
пшён;[(0, 4, 'B-TYPE')]
пшёнка;[(0, 6, 'B-TYPE')]
пшённая;[(0, 7, 'B-TYPE')]
пяденка;[(0, 7, 'B-TYPE')]
рабка;[(0, 5, 'B-TYPE')]
раска;[(0, 5, 'O')]
рафало;[(0, 6, 'B-TYPE')]
рахлава;[(0, 7, 'B-TYPE')]
рачтишка;[(0, 8, 'B-TYPE')]
ревень;[(0, 6, 'B-TYPE')]
реди;[(0, 4, 'B-BRAND')]
релис;[(0, 5, 'B-TYPE')]
релиш;[(0, 5, 'B-TYPE')]
рем-мыо;[(0, 7, 'O')]
ретк;[(0, 4, 'O')]
речка;[(0, 5, 'B-TYPE')]
рибы;[(0, 4, 'B-TYPE')]
риет с горбу;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
рирожные;[(0, 8, 'B-TYPE')]
рисс;[(0, 4, 'B-TYPE')]
рй каава;[(0, 2, 'O'), (3, 8, 'O')]
рки;[(0, 3, 'O')]
рл;[(0, 2, 'O')]
рлет;[(0, 4, 'B-TYPE')]
рминон;[(0, 6, 'O')]
роастишка;[(0, 9, 'B-TYPE')]
ровати;[(0, 6, 'B-TYPE')]
родл;[(0, 4, 'B-TYPE')]
роий чай;[(0, 4, 'O'), (5, 8, 'O')]
ромкор;[(0, 6, 'B-BRAND')]
россинка;[(0, 8, 'B-BRAND')]
ростагро;[(0, 8, 'B-BRAND')]
ростагроэкспорт же;[(0, 15, 'B-BRAND'), (16, 18, 'B-TYPE')]
рощмарин;[(0, 8, 'B-TYPE')]
роял гала;[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
рпомидор;[(0, 8, 'B-TYPE')]
рублевский блын;[(0, 10, 'B-BRAND'), (11, 15, 'B-TYPE')]
руктоо-овощое;[(0, 13, 'O')]
русморс;[(0, 7, 'B-BRAND')]
руукола;[(0, 7, 'B-TYPE')]
рцы;[(0, 3, 'O')]
рязык;[(0, 5, 'B-TYPE')]
с пылу;[(0, 1, 'O'), (2, 6, 'O')]
садельки;[(0, 8, 'B-TYPE')]
садыетки;[(0, 8, 'B-TYPE')]
саж;[(0, 3, 'O')]
саинина;[(0, 7, 'B-TYPE')]
саички;[(0, 6, 'B-TYPE')]
сакароны;[(0, 8, 'B-TYPE')]
саке;[(0, 4, 'B-TYPE')]
самобранка;[(0, 10, 'B-TYPE')]
самсон купа;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
самсон купат;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
самсон купаты;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
сапагетти;[(0, 9, 'B-TYPE')]
сасло;[(0, 5, 'B-TYPE')]
сауре;[(0, 5, 'B-TYPE')]
саус;[(0, 4, 'B-TYPE')]
саше chirto;[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND')]
саше chirton;[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND')]
саше greenfie;[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND')]
саше greenfiel;[(0, 4, 'B-TYPE'), (5, 14, 'B-BRAND')]
